lon,lat,speed,timestamp,course,mmsi,source_port,dest_port
-0.25699,53.74198,0.2 Knots,2022-06-28 02:13,---,235065013,united-kingdom,KGDK HULL
12.24326,44.44035,5.9 Knots,2022-09-14 08:43,340.4,247180600,italy,italy
139.76139,35.26789,11.5 Knots,2022-09-25 00:55,149,431000392,japan,&gt;JP YKK OFF
-21.93744,64.17434,5.2 Knots,2021-11-05 08:27,340.9,251411110,iceland,REYKJAVIK
103.74892,1.19793,-1,2022-09-24 23:53,263,565761000,singapore,singapore
-5.36340,36.14721,-1,2022-09-25 00:55,---,236112494,gibraltar,gibraltar
0.03515,5.60994,0.6 Knots,2019-09-09 16:32,---,671795000,Unknown,LOME
23.53334,38.03771,0.1 Knots,2022-09-25 00:55,59,239550200,greece,greece
27.68637,42.48823,8 Knots,2022-06-07 11:42,266.7,207292000,bulgaria,bulgaria
103.82004,1.23439,0.3 Knots,2022-09-25 00:55,---,563003930,singapore,AEPA
134.30990,34.41484,11.8 Knots,2022-09-21 09:54,262.5,431002774,japan,&gt;JP MIZ TS OFF
139.67320,35.48305,-1,2022-09-23 19:52,62,431004149,japan,japan
103.69016,1.22309,5.8 Knots,2022-09-19 09:25,251.6,533000092,malaysia,SGP SMALL CRAFT A
14.71036,35.91324,6.3 Knots,2022-09-24 10:07,80.3,248138000,malta,MALTA_BUNKERING_BARG
-2.30954,47.16803,9.7 Knots,2022-09-07 17:01,28.9,227681520,france,france
134.34950,34.41448,11.9 Knots,2022-09-24 08:10,248.6,431000173,japan,&gt;JP IHA OFF
10.30161,43.54939,-1,2022-09-24 21:08,---,247377500,italy,italy
5.79649,58.50425,-1,2022-09-25 00:54,288,257226500,norway,norway
23.71587,64.22235,-1,2022-09-05 11:56,322,230212000,finland,finland
24.94735,37.43223,0.4 Knots,2022-09-23 17:59,---,237943800,greece,greece
25.39761,71.02035,-1,2022-09-25 00:55,274,259279000,norway,FISHFARMS
8.41538,55.47740,-1,2022-05-24 12:01,333,211305290,germany,denmark
120.29259,22.61061,0.7 Knots,2022-09-22 08:20,---,416001858,taiwan,taiwan
103.76094,1.29048,-1,2022-09-09 06:45,---,563001280,singapore,singapore
103.89430,1.25920,0.1 Knots,2022-09-25 00:55,---,563001270,singapore,Unknown
21.15273,55.66057,-1,2022-09-23 19:50,348,277293000,lithuania,lithuania
-0.46963,53.70358,7.8 Knots,2022-03-25 09:10,244.3,232006203,united-kingdom,united-kingdom
23.61180,37.95696,-1,2022-09-25 00:55,---,237829800,greece,greece
0.51866,51.38481,-1,2022-05-20 11:58,---,235093292,united-kingdom,SHEERNESS
0.37105,51.44583,-1,2022-09-24 13:58,275,232012297,united-kingdom,united-kingdom
104.02941,1.25055,7.7 Knots,2022-09-24 18:38,83.9,467005341,malaysia,Unknown
5.01969,61.30352,8 Knots,2022-09-25 00:55,64.8,257121400,norway,norway
103.94868,1.30038,0.1 Knots,2022-09-25 00:53,---,563846000,singapore,P-17 N-WESCOAST
23.54443,37.94994,-1,2021-10-08 06:33,---,237091900,greece,Unknown
23.61191,37.95692,-1,2022-09-23 07:10,---,239869900,greece,greece
8.44591,55.46350,-1,2022-09-25 00:55,117,219022047,denmark,denmark
23.55153,38.03636,-1,2022-09-23 05:27,---,241135000,greece,(!(!(!(!(!(!
103.95243,1.30115,0.1 Knots,2022-09-25 00:48,---,563025420,singapore,CENTRAL STAR MARINE
103.95060,1.30072,0.1 Knots,2022-09-25 00:50,---,563025410,singapore,singapore
103.98519,1.30198,5.7 Knots,2022-09-24 23:05,91,563025390,singapore,Unknown
37.37113,45.31887,-1,2019-06-03 17:29,---,273446990,russia,TEMRUK
37.78488,44.73186,-1,2022-09-25 00:55,---,273453430,russia,russia
54.88638,26.52897,-1,2022-09-23 01:35,---,677013700,iran,DUBAI
22.10476,38.31690,6.8 Knots,2022-09-25 00:55,109.7,247433600,italy,TIVSI GRE
9.86750,53.53915,5 Knots,2022-09-25 00:55,165,211372620,germany,germany
103.89471,1.28081,3.9 Knots,2022-09-25 00:54,256.5,563033720,singapore,Unknown
11.88997,57.69097,-1,2022-09-25 00:55,76,265550210,sweden,sweden
103.90690,1.09775,2.1 Knots,2022-09-22 16:25,---,525300666,indonesia,TANJUNGUNCANG
9.95597,53.50935,-1,2022-09-25 00:55,---,211178650,germany,germany
-74.19616,40.63908,-1,2022-06-17 13:47,---,367065790,usa,Unknown
10.14785,54.36238,-1,2022-09-25 00:55,---,211262590,germany,germany
8.71372,53.86088,-1,2022-09-25 00:55,313,211286380,germany,germany
8.70913,53.86968,-1,2022-09-23 11:57,---,211516970,germany,germany
